Component,Classification,Reason
tesisproject.backend/Controllers/FacultyScopesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/FundingTypesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/GroupsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/IndexingSourcesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/InstitutionsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/MemberRoleTypesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ObjectiveActivitiesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ObjectiveActivityUsersController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ObjectiveTypesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProductAttributeDefinitionsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProductAttributesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProductsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProductTypeDesignController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProductTypesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProjectExtensionsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProjectExtensionTypesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProjectMatrixController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProjectObjectivesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProjectOriginTypesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProjectResearchCategoryController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProjectsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProjectsFiltersController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProjectStatesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ProjectTypesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ResearchCategoriesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ResearchCategoryGroupsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/ResearchCategoryTypeController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/TransactionTypesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/VisitIssuesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/VisitObjectiveActivityProgressesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/VisitsController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Controllers/VisitStatesController.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/AppUserRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ArticleReadRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/AspNetUserRepository.cs.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/BudgetRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/CatalogRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ConvocationRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/DocumentRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ExportFieldRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ExportTemplateColumnRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ExportTemplateRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ExternalResearcherProjectRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ExternalResearcherRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/FacultyScopeFacultyRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/FacultyScopeRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/GroupMemberRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/GroupRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ObjectiveActivityRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ObjectiveActivityUserRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ProductAttributeDefinitionRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ProductAuthorRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ProductRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ProductValueRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ProjectDocumentRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ProjectExtensionRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ProjectObjectiveRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ProjectRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ProjectResearchCategoryRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/ResearchCategoryRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/UserFacultyScopeAssignmentRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/VisitIssueRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/VisitObjectiveActivityProgressRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Implementations/VisitRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/AppConfigurationRepository.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/AppUserService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ArticleConfigurationService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ArticleQueryService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ArticleRegistrationCommandService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ArticleUserContext.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/AuthService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/BudgetService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/CatalogCrudService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/CatalogQueryService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ConvocationService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/CountryService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/DisabledArticleQueryService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/DisabledArticleRegistrationCommandService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/DisabledRegistrationMatrixService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/DocumentRecognitionService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/DocumentService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ExportTemplateExcelService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ExportTemplateService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ExternalResearcherProjectService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ExternalResearcherService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/FacultyScopeService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/GroupService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/IndexingSourceService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/InstitutionService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/MatrixExcelExportService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/MatrixTemplateExcelExportService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/MemberRoleTypeService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ObjectiveActivityService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ObjectiveActivityUserService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ProductAttributeDefinitionService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ProductAttributeService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ProductService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ProductTypeDesignService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ProjectExtensionService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ProjectFlatReportService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ProjectMatrixService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ProjectObjectiveService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ProjectResearchCategoryService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ProjectService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ProjectsFiltersService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/RefreshTokenService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/RegistrationMatrixService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ResearchCategoryService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/ResearchCategoryTypeService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/VisitIssueService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/VisitObjectiveActivityProgressService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/VisitService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/UnitOfWork/Implementations/UnitOfWork.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/UnitOfWork/Interfaces/IUnitOfWork.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Services/Implementations/UserRoleService.cs,DELETE,Implementación reemplazada por Unified; sin consumidor necesario después de retirar DI legacy
tesisproject.backend/Repositories/Interfaces/IAppUserRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IArticleReadRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IAspNetUserRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IBudgetRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/ICatalogRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IConvocationRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IDocumentRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IExportFieldRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IExportTemplateColumnRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IExportTemplateRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IExternalResearcherProjectRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IExternalResearcherRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IFacultyScopeFacultyRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IFacultyScopeRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IGroupMemberRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IGroupRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IObjectiveActivityRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IObjectiveActivityUserRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IProductAttributeDefinitionRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IProductAuthorRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IProductRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IProductValueRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IProjectDocumentRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IProjectExtensionRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IProjectObjectiveRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IProjectRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IProjectResearchCategoryRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IResearchCategoryRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IUserFacultyScopeAssignmentRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IVisitIssueRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IVisitObjectiveActivityProgressRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Repositories/Interfaces/IVisitRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IAppConfigurationRepository.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IAppUserService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IAuthService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IBudgetService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/ICatalogCrudService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/ICatalogQueryService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IConvocationService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/ICountryService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IDocumentRecognitionService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IDocumentService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IExportTemplateExcelService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IExportTemplateService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IExternalResearcherProjectService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IExternalResearcherService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IFacultyScopeService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IGroupService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IIndexingSourceService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IInstitutionService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IMatrixExcelExportService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IMatrixTemplateExcelExportService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IMemberRoleTypeService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IObjectiveActivityService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IObjectiveActivityUserService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IProductAttributeDefinitionService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IProductAttributeService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IProductService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IProductTypeDesignService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IProjectExtensionService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IProjectFiltersService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IProjectFlatReportService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IProjectMatrixService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IProjectObjectiveService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IProjectResearchCategoryService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IProjectService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IProjectsFiltersService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IRefreshTokenService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IResearchCategoryService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IResearchCategoryTypeService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
tesisproject.backend/Services/Interfaces/IUserRoleService.cs,DELETE,Sin referencias en código backend/Shared/frontend activo tras retirar implementaciones
