client,method,remote,consumer,data,classification,localTable,synchronizable,source
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},GroupService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Implementations/GroupService.cs:237
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},GroupService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Implementations/GroupService.cs:307
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},GroupService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Implementations/GroupService.cs:349
ExternalDirectoryClient,GetAllAsync,GET /api/usuarios,GroupService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Implementations/GroupService.cs:386
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},GroupService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Implementations/GroupService.cs:987
ExternalPeriodsClient,GetAllAsync,GET /api/periodos,GroupService,ExternalAcademicPeriodModel,SYNC_CATALOG,AcademicTerm,yes,tesisproject.backend/Services/Implementations/GroupService.cs:749
ExternalDistributivosService,GetDistributivosByCorreosAsync,GET /api/distributivos?correos={emails},GroupService,ExternalTeacherDistributivoModel,LIVE_OPERATIONAL,None,no / pending decision,tesisproject.backend/Services/Implementations/GroupService.cs:778
ExternalAcademicsService,GetFacultiesAsync,GET /api/facultades,ProjectFlatReportService,Faculty + nested Program,SYNC_CATALOG,Faculty hierarchy: roots and descendants,yes; all valid Id/ParentId nodes,tesisproject.backend/Services/Implementations/ProjectFlatReportService.cs:432
ExternalDirectoryClient,GetAllAsync,GET /api/usuarios,ProjectFlatReportService,ExternalUserProfileModel,REPORT_ENRICHMENT,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Implementations/ProjectFlatReportService.cs:464
ExternalPeriodsClient,GetAllAsync,GET /api/periodos,ProjectService,ExternalAcademicPeriodModel,SYNC_CATALOG,AcademicTerm,yes,tesisproject.backend/Services/Implementations/ProjectService.cs:469
ExternalPeriodsClient,GetAllAsync,GET /api/periodos,ProjectService,ExternalAcademicPeriodModel,SYNC_CATALOG,AcademicTerm,yes,tesisproject.backend/Services/Implementations/ProjectService.cs:1165
ExternalAcademicsService,GetFacultiesAsync,GET /api/facultades,ProjectService,Faculty + nested Program,SYNC_CATALOG,Faculty hierarchy: roots and descendants,yes; all valid Id/ParentId nodes,tesisproject.backend/Services/Implementations/ProjectService.cs:1196
ExternalDirectoryClient,GetByEmailsAsync,GET /api/usuarios?emails={emails},ProjectService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Implementations/ProjectService.cs:456
ExternalDirectoryClient,GetAllAsync,GET /api/usuarios,ProjectService,ExternalUserProfileModel,IDENTITY_DIRECTORY,None; Identity/AppUser bridge is not a directory mirror,no / pending decision,tesisproject.backend/Services/Implementations/ProjectService.cs:1234
ExternalDistributivosService,GetDistributivosByCorreosAsync,GET /api/distributivos?correos={emails},ProjectService,ExternalTeacherDistributivoModel,LIVE_OPERATIONAL,None,no / pending decision,tesisproject.backend/Services/Implementations/ProjectService.cs:482
ExternalAcademicsService,GetFacultiesKeyValuesAsync,GET /api/facultades,ProjectsFiltersService,Faculty + nested Program,SYNC_CATALOG,Faculty hierarchy: roots and descendants,yes; all valid Id/ParentId nodes,tesisproject.backend/Services/Implementations/ProjectsFiltersService.cs:51
