controller,unified,endpoint,route,verb,requestLegacy,requestUnified,responseLegacy,responseUnified,authorization,metadata,legacyService,unifiedService,statusCodes,classification,compatibility,note
BudgetsController,UnifiedBudgetsController,GetById,api/budgets/{id:int},GET,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetDTO>>>,Task<ActionResult<ServiceResult<BudgetDTO>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template={id:int},Order=0,Name=",IBudgetService.GetByIdAsync,IUnifiedBudgetService.GetByIdAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
BudgetsController,UnifiedBudgetsController,List,api/budgets,GET,CancellationToken ct default= ,CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<BudgetListItemDTO>>>>,Task<ActionResult<ServiceResult<List<BudgetListItemDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=,Order=0,Name=",IBudgetService.GetAllAsync,IUnifiedBudgetService.GetAllAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
BudgetsController,UnifiedBudgetsController,GetByProjectId,api/budgets/project/{projectId:int},GET,Int32 projectId default= ;CancellationToken ct default= ,Int32 projectId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<BudgetDTO>>>>,Task<ActionResult<ServiceResult<List<BudgetDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=project/{projectId:int},Order=0,Name=",IBudgetService.GetByProjectIdAsync,IUnifiedBudgetService.GetByProjectIdAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
BudgetsController,UnifiedBudgetsController,Update,api/budgets/{id:int},PUT,Int32 id default= ;UpdateBudgetRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 id default= ;UpdateBudgetRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetDTO>>>,Task<ActionResult<ServiceResult<BudgetDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template={id:int},Order=0,Name=",IBudgetService.UpdateAsync,IUnifiedBudgetService.UpdateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
BudgetsController,UnifiedBudgetsController,Delete,api/budgets/{id:int},DELETE,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,Task<ActionResult<ServiceResult<NoContent>>>,"roles=superadmin,policy=,schemes=;","HttpDeleteAttribute:HttpMethods=DELETE,Template={id:int},Order=0,Name=",IBudgetService.DeleteAsync,IUnifiedBudgetService.DeleteAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
BudgetsController,UnifiedBudgetsController,AddCertification,api/budgets/{budgetId:int}/certifications,POST,Int32 budgetId default= ;AddCertificationRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 budgetId default= ;AddCertificationRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetTransactionDTO>>>,Task<ActionResult<ServiceResult<BudgetTransactionDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template={budgetId:int}/certifications,Order=0,Name=",IBudgetService.AddCertificationAsync,IUnifiedBudgetService.AddCertificationAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
BudgetsController,UnifiedBudgetsController,ExecuteDevengado,api/budgets/transactions/{transactionId:int}/devengar,POST,Int32 transactionId default= ;ExecuteDevengadoRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 transactionId default= ;ExecuteDevengadoRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetTransactionDTO>>>,Task<ActionResult<ServiceResult<BudgetTransactionDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template=transactions/{transactionId:int}/devengar,Order=0,Name=",IBudgetService.ExecuteDevengadoAsync,IUnifiedBudgetService.ExecuteDevengadoAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
BudgetsController,UnifiedBudgetsController,GetTransactions,api/budgets/{budgetId:int}/transactions,GET,Int32 budgetId default= ;CancellationToken ct default= ,Int32 budgetId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<BudgetTransactionDTO>>>>,Task<ActionResult<ServiceResult<List<BudgetTransactionDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template={budgetId:int}/transactions,Order=0,Name=",IBudgetService.GetTransactionsAsync,IUnifiedBudgetService.GetTransactionsAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
BudgetsController,UnifiedBudgetsController,CancelTransaction,api/budgets/transactions/{transactionId:int}/cancel,PUT,Int32 transactionId default= ;CancellationToken ct default= ,Int32 transactionId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetTransactionDTO>>>,Task<ActionResult<ServiceResult<BudgetTransactionDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template=transactions/{transactionId:int}/cancel,Order=0,Name=",IBudgetService.CancelTransactionAsync,IUnifiedBudgetService.CancelTransactionAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
BudgetsController,UnifiedBudgetsController,UpdateTransaction,api/budgets/transactions/{transactionId:int},PUT,Int32 transactionId default= ;UpdateBudgetTransactionRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 transactionId default= ;UpdateBudgetTransactionRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<BudgetTransactionDTO>>>,Task<ActionResult<ServiceResult<BudgetTransactionDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template=transactions/{transactionId:int},Order=0,Name=",IBudgetService.UpdateTransactionAsync,IUnifiedBudgetService.UpdateTransactionAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ConvocationsController,UnifiedConvocationsController,GetAll,api/convocations,GET,CancellationToken ct default= ,CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ConvocationListItemResponseDTO>>>>,Task<ActionResult<ServiceResult<IReadOnlyList<ConvocationListItemResponseDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=,Order=0,Name=",IConvocationService.ListAsync,IUnifiedConvocationService.ListAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ConvocationsController,UnifiedConvocationsController,GetById,api/convocations/{id:int},GET,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ConvocationDetailResponseDTO>>>,Task<ActionResult<ServiceResult<ConvocationDetailResponseDTO>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template={id:int},Order=0,Name=",IConvocationService.GetByIdAsync,IUnifiedConvocationService.GetByIdAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ConvocationsController,UnifiedConvocationsController,Create,api/convocations,POST,ConvocationCreateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,ConvocationCreateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ConvocationDetailResponseDTO>>>,Task<ActionResult<ServiceResult<ConvocationDetailResponseDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template=,Order=0,Name=",IConvocationService.CreateAsync,IUnifiedConvocationService.CreateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ConvocationsController,UnifiedConvocationsController,Update,api/convocations/{id:int},PUT,Int32 id default= ;ConvocationUpdateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 id default= ;ConvocationUpdateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ConvocationDetailResponseDTO>>>,Task<ActionResult<ServiceResult<ConvocationDetailResponseDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template={id:int},Order=0,Name=",IConvocationService.UpdateAsync,IUnifiedConvocationService.UpdateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ConvocationsController,UnifiedConvocationsController,ActivateExclusive,api/convocations/{id:int}/activate,POST,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,Task<ActionResult<ServiceResult<NoContent>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template={id:int}/activate,Order=0,Name=",IConvocationService.ActivateExclusiveAsync,IUnifiedConvocationService.ActivateExclusiveAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ConvocationsController,UnifiedConvocationsController,AddRule,api/convocations/{id:int}/rules,POST,Int32 id default= ;ConvocationRuleCreateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 id default= ;ConvocationRuleCreateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ConvocationRuleResponseDTO>>>,Task<ActionResult<ServiceResult<ConvocationRuleResponseDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template={id:int}/rules,Order=0,Name=",IConvocationService.AddRuleAsync,IUnifiedConvocationService.AddRuleAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ConvocationsController,UnifiedConvocationsController,UpdateRule,api/convocations/{id:int}/rules/{ruleId:int},PUT,Int32 id default= ;Int32 ruleId default= ;ConvocationRuleUpdateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Int32 id default= ;Int32 ruleId default= ;ConvocationRuleUpdateRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ConvocationRuleResponseDTO>>>,Task<ActionResult<ServiceResult<ConvocationRuleResponseDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template={id:int}/rules/{ruleId:int},Order=0,Name=",IConvocationService.UpdateRuleAsync,IUnifiedConvocationService.UpdateRuleAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
ConvocationsController,UnifiedConvocationsController,RemoveRule,api/convocations/{id:int}/rules/{ruleId:int},DELETE,Int32 id default= ;Int32 ruleId default= ;CancellationToken ct default= ,Int32 id default= ;Int32 ruleId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,Task<ActionResult<ServiceResult<NoContent>>>,"roles=superadmin,policy=,schemes=;","HttpDeleteAttribute:HttpMethods=DELETE,Template={id:int}/rules/{ruleId:int},Order=0,Name=",IConvocationService.RemoveRuleAsync,IUnifiedConvocationService.RemoveRuleAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
CountriesController,UnifiedCountriesController,List,api/countries,GET,Boolean onlyActives default=True [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Boolean onlyActives default=True [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<CountryListItemDTO>>>>,Task<ActionResult<ServiceResult<IReadOnlyList<CountryListItemDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=,Order=0,Name=",ICountryService.ListAsync,IUnifiedCountryService.ListAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
CountriesController,UnifiedCountriesController,GetById,api/countries/{id:int},GET,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<CountryDetailDTO>>>,Task<ActionResult<ServiceResult<CountryDetailDTO>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template={id:int},Order=0,Name=",ICountryService.GetByIdAsync,IUnifiedCountryService.GetByIdAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
CountriesController,UnifiedCountriesController,GetKeyValues,api/countries/keyvalues,GET,String term default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];Nullable<Int32> take default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,String term default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];Nullable<Int32> take default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<KeyValueItemDTO>>>>,Task<ActionResult<ServiceResult<List<KeyValueItemDTO>>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template=keyvalues,Order=0,Name=",ICountryService.GetKeyValuesAsync,IUnifiedCountryService.GetKeyValuesAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
CountriesController,UnifiedCountriesController,Create,api/countries,POST,AddCountryRequestDTO body default= ;CancellationToken ct default= ,AddCountryRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<CountryDetailDTO>>>,Task<ActionResult<ServiceResult<CountryDetailDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template=,Order=0,Name=",ICountryService.CreateAsync,IUnifiedCountryService.CreateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
CountriesController,UnifiedCountriesController,Update,api/countries/{id:int},PUT,Int32 id default= ;UpdateCountryRequestDTO body default= ;CancellationToken ct default= ,Int32 id default= ;UpdateCountryRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<CountryDetailDTO>>>,Task<ActionResult<ServiceResult<CountryDetailDTO>>>,"roles=superadmin,policy=,schemes=;","HttpPutAttribute:HttpMethods=PUT,Template={id:int},Order=0,Name=",ICountryService.UpdateAsync,IUnifiedCountryService.UpdateAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentRecognitionController,UnifiedDocumentRecognitionController,AnalyzeResolution,api/documentrecognition/analyze-resolution,POST,IFormFile file default= ;CancellationToken ct default= ,IFormFile file default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ResolutionInfo>>>,Task<ActionResult<ServiceResult<ResolutionInfo>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template=analyze-resolution,Order=0,Name=",IDocumentRecognitionService.RecognizeResolutionAsync,IUnifiedDocumentRecognitionService.RecognizeResolutionAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentRecognitionController,UnifiedDocumentRecognitionController,AnalyzeDideProject,api/documentrecognition/analyze-dide-project,POST,IFormFile file default= ;CancellationToken ct default= ,IFormFile file default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<DideProjectFormInfo>>>,Task<ActionResult<ServiceResult<DideProjectFormInfo>>>,"roles=superadmin,policy=,schemes=;","HttpPostAttribute:HttpMethods=POST,Template=analyze-dide-project,Order=0,Name=",IDocumentRecognitionService.RecognizeDideProjectAsync,IUnifiedDocumentRecognitionService.RecognizeDideProjectAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentsController,UnifiedDocumentsController,Create,api/documents,POST,UploadDocumentRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromFormAttribute()];CancellationToken ct default= ,UploadDocumentRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromFormAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<DocumentResponseDTO>>>,Task<ActionResult<ServiceResult<DocumentResponseDTO>>>,"roles=superadmin,policy=,schemes=;","ConsumesAttribute:ContentTypes=multipart/form-data,IsOptional=False;HttpPostAttribute:HttpMethods=POST,Template=,Order=0,Name=",IDocumentService.UploadAsync,IUnifiedDocumentService.UploadAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
DocumentsController,UnifiedDocumentsController,GetById,api/documents/{id:int},GET,Int32 id default= ;CancellationToken ct default= ,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<DocumentResponseDTO>>>,Task<ActionResult<ServiceResult<DocumentResponseDTO>>>,"roles=superadmin,policy=,schemes=;","HttpGetAttribute:HttpMethods=GET,Template={id:int},Order=0,Name=",IDocumentService.GetByIdAsync,IUnifiedDocumentService.GetByIdAsync,200;400;401;403;404;409;500 (ServiceResult),DIRECT,COMPATIBLE,"DTO, route, verb, binding, authorization and ServiceResult mapping preserved."
