Legacy,Unified,Classification,Status,Dependencies,Repositories,DTOs
DocumentService,UnifiedDocumentService,EXTERNAL_BOUNDARY,CREATED,"[('IUnitOfWork', '_uow'), ('ICurrentUserService', '_currentUser'), ('string', '_storageRootFullPath')]",AppUsers;Documents,DocumentResponseDTO;ReplaceDocumentFileRequestDTO;Request;Response;UpdateDocumentRequestDTO;UploadDocumentRequestDTO
ExportTemplateExcelService,UnifiedExportTemplateExcelService,LOGIC_CHANGE,CREATED,"[('IProjectFlatReportService', '_flatService'), ('ILogger<ExportTemplateExcelService>', '_logger')]",,ExportColumnDTO;ExportRequestDTO;InvalidRequest;ProjectFlatReportDTO;Request;Response
ExportTemplateService,UnifiedExportTemplateService,DIRECT,CREATED,"[('IUnitOfWork', '_uow'), ('ILogger<ExportTemplateService>', '_logger')]",ExportFields;ExportTemplateColumns;ExportTemplates,ExportFieldListItemDTO;ExportTemplateColumnDTO;ExportTemplateColumnUpsertDTO;ExportTemplateCreateRequestDTO;ExportTemplateDetailDTO;ExportTemplateListItemDTO;ExportTemplateUpdateRequestDTO;MapToDetailDTO
ExternalAcademicsService,,EXTERNAL_BOUNDARY,OUT_OF_SCOPE,"[('HttpClient', '_http'), ('ILogger<ExternalAcademicsService>', '_logger'), ('ExternalApiOptions', '_opts')]",,ExternalFacultyDTO;ExternalProgramDTO;KeyValueItemDTO
ExternalDirectoryClient,,EXTERNAL_BOUNDARY,OUT_OF_SCOPE,"[('HttpClient', '_http'), ('ILogger<ExternalDirectoryClient>', '_logger'), ('ExternalApiOptions', '_opts')]",,
ExternalDistributivosService,,EXTERNAL_BOUNDARY,OUT_OF_SCOPE,"[('HttpClient', '_http'), ('ILogger<ExternalDistributivosService>', '_logger'), ('ExternalApiOptions', '_opts')]",,
ExternalPeriodsClient,,EXTERNAL_BOUNDARY,OUT_OF_SCOPE,"[('HttpClient', '_http'), ('ILogger<ExternalPeriodsClient>', '_logger'), ('ExternalApiOptions', '_opts')]",,
ExternalResearcherProjectService,UnifiedExternalResearcherProjectService,EXTERNAL_BOUNDARY,CREATED,"[('IUnitOfWork', '_uow'), ('ICurrentUserService', '_currentUser')]",AppUsers;ExternalResearcherProjects;ExternalResearchers;Projects,ExternalResearcherProjectCreateRequestDTO;ExternalResearcherProjectDetailDTO;ExternalResearcherProjectListItemDTO;ExternalResearcherProjectUpdateRequestDTO;InvalidRequest;Request;Response;ToDetailDTO;ToListItemDTO
ExternalResearcherService,UnifiedExternalResearcherService,EXTERNAL_BOUNDARY,CREATED,"[('IUnitOfWork', '_uow')]",ExternalResearchers,ExternalResearcherCreateRequestDTO;ExternalResearcherDetailDTO;ExternalResearcherListItemDTO;ExternalResearcherUpdateRequestDTO;InvalidRequest;KeyValueItemDTO;Request;Response;ToDetailDTO;ToListItemDTO
FacultyScopeService,UnifiedFacultyScopeService,LOGIC_CHANGE,CREATED,"[('IUnitOfWork', '_uow'), ('IAppUserService', '_appUsers'), ('ICurrentUserService', '_currentUser')]",AppUsers;FacultyScopeFaculties;FacultyScopes;UserFacultyScopeAssignments,AssignFacultyScopeUserRequestDTO;CreateFacultyScopeRequestDTO;FacultyScopeFacultyItemDTO;FacultyScopeResponseDTO;InvalidRequest;RegisterRequest;Request;Response;SetFacultyScopeFacultiesRequestDTO;UpdateFacultyScopeRequestDTO
GroupService,UnifiedGroupService,LOGIC_CHANGE,CREATED,"[('IUnitOfWork', '_uow'), ('IExternalDirectoryClient', '_directory'), ('ILogger<GroupService>', '_logger'), ('IAppUserService', '_appUsers'), ('IExternalPeriodsClient', '_periods'), ('IExternalDistributivosService', '_distributivos')]",AppUsers;AspNetUsers;GroupMembers;Groups;MemberRoleTypeRepository;ProjectExtensions;Projects,AddGroupMemberRequestDTO;AddGroupRequestDTO;DTO;GroupMemberResponseDTO;GroupResponseDTO;InvalidRequest;ProjectMemberReportRowDTO;ProjectMembersReportDTO;ProjectMembersReportSectionDTO;RegisterRequest;Request;ResolvedUserProfileDTO;Response;ToGroupResponseDTO;UpdateGroupRequestDTO
IndexingSourceService,UnifiedIndexingSourceService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",IndexingSources,IndexingSourceCreateRequestDTO;IndexingSourceListItemDTO;IndexingSourceUpdateRequestDTO;InvalidRequest;KeyValueItemDTO;Request;Response;ToListItemDTO
InstitutionService,UnifiedInstitutionService,ADAPTABLE,CREATED,"[('IUnitOfWork', '_uow')]",Countries;Institutions,AddInstitutionRequestDTO;InstitutionDetailDTO;InstitutionListItemDTO;InvalidRequest;KeyValueItemDTO;Request;Response;ToDetailDTO;ToListItemDTO;UpdateInstitutionRequestDTO
JwtTokenService,,OUT_OF_SCOPE,OUT_OF_SCOPE,"[('IConfiguration', '_cfg')]",,
MatrixExcelExportService,UnifiedMatrixExcelExportService,LOGIC_CHANGE,CREATED,"[('IProjectFlatReportService', '_flatService'), ('IResearchCategoryService', '_categoryService'), ('ILogger<MatrixExcelExportService>', '_logger')]",,ProjectFlatReportDTO;ResearchCategoryTreeItemDTO;Response
MatrixTemplateExcelExportService,UnifiedMatrixTemplateExcelExportService,LOGIC_CHANGE,CREATED,"[('IProjectFlatReportService', '_flatService'), ('IResearchCategoryService', '_categoryService'), ('IExportTemplateService', '_templateService'), ('ILogger<MatrixTemplateExcelExportService>', '_logger')]",,ExportByTemplateRequestDTO;ExportTemplateColumnDTO;ExportTemplateDetailDTO;ProjectFlatReportDTO;Request;ResearchCategoryTreeItemDTO;Response
MemberRoleTypeService,UnifiedMemberRoleTypeService,ADAPTABLE,CREATED,"[('IUnitOfWork', '_uow')]",MemberRoleTypeRepository,AddMemberRoleTypeRequestDTO;InvalidRequest;KeyValueItemDTO;MemberRoleTypeDetailDTO;MemberRoleTypeListItemDTO;Request;Response;UpdateMemberRoleTypeRequestDTO
ObjectiveActivityService,UnifiedObjectiveActivityService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",ObjectiveActivities;ProjectObjectives;Projects;VisitObjectiveActivityProgresses;Visits,AddObjectiveActivityRequestDTO;DTO;InvalidRequest;ObjectiveActivityDetailDTO;ObjectiveActivityListItemDTO;Request;Response;UpdateObjectiveActivityRequestDTO
ObjectiveActivityUserService,UnifiedObjectiveActivityUserService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",ObjectiveActivities;ObjectiveActivityUsers;Visits,AssignObjectiveActivityUserRequestDTO;ObjectiveActivityUserDTO;Request;Response;UpdateObjectiveActivityUserRequestDTO
ProductAttributeDefinitionService,UnifiedProductAttributeDefinitionService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",ProductAttributeDefinitions,AddProductAttributeDefinitionRequestDTO;DTO;InvalidRequest;ProductAttributeDefinitionDetailDTO;ProductAttributeDefinitionListItemDTO;Request;Response;UpdateProductAttributeDefinitionRequestDTO
ProductAttributeService,UnifiedProductAttributeService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",ProductAttributes,AddProductAttributeRequestDTO;InvalidRequest;ProductAttributeDetailDTO;ProductAttributeListItemDTO;Request;Response;UpdateProductAttributeRequestDTO
ProductService,UnifiedProductService,LOGIC_CHANGE,CREATED,"[('IUnitOfWork', '_uow')]",ProductAttributeDefinitions;ProductAuthors;ProductTypes;ProductValues;Products,InvalidRequest;MapToDetailDTO;ProductAuthorResponseDTO;ProductCreateRequestDTO;ProductDetailResponseDTO;ProductListItemResponseDTO;ProductUpdateRequestDTO;ProductValueResponseDTO;ProductValueUpsertDTO;Request;Response
ProductTypeDesignService,UnifiedProductTypeDesignService,DIRECT,CREATED,"[('IUnitOfWork', '_uow'), ('IProductAttributeService', '_productAttributeService')]",ProductAttributeDefinitions;ProductAttributes;ProductTypes,AddProductAttributeRequestDTO;CatalogDetailDTO;ProductAttributeDefinitionDetailDTO;ProductAttributeDefinitionUpsertDTO;ProductAttributeDetailDTO;ProductAttributeUpsertDTO;ProductTypeDesignDetailDTO;ProductTypeUpsertDTO;Request;Response;SaveProductTypeDesignRequestDTO;UpdateProductAttributeRequestDTO
ProjectExtensionService,UnifiedProjectExtensionService,ADAPTABLE,CREATED,"[('IUnitOfWork', '_uow')]",ProjectExtensionTypes;ProjectExtensions;Projects;Visits,AddProjectExtensionRequestDTO;InvalidRequest;MapToListDTO;ProjectExtensionListResponseDTO;Request;Response;UpdateProjectExtensionRequestDTO
ProjectFlatReportService,UnifiedProjectFlatReportService,LOGIC_CHANGE,CREATED,"[('AppDbContext', '_db'), ('IExternalAcademicsService', '_externalAcademics'), ('IExternalDirectoryClient', '_externalDirectory'), ('ILogger<ProjectFlatReportService>', '_logger')]",,DTO;ExternalFacultyDTO;ExternalProfileDTO;ProductAttributeValueDTO;ProjectBudgetReportDTO;ProjectExternalResearcherReportDTO;ProjectFlatReportDTO;ProjectMemberReportDTO;ProjectObjectiveReportDTO;ProjectProductReportDTO;ProjectResearchCategoryReportDTO;Response
ProjectMatrixService,UnifiedProjectMatrixService,LOGIC_CHANGE,CREATED,"[('IProjectService', '_projectService'), ('ILogger<ProjectMatrixService>', '_logger')]",,ImportedProjectDTO;MatrixRangeDTO;ProjectDocumentDTO;ProjectExtensionDTO;ProjectMatrixColumnMapDTO;ProjectMatrixUploadErrorDTO;ProjectMatrixUploadSummaryDTO;ProjectVisitPeriodDTO;Response
ProjectObjectiveService,UnifiedProjectObjectiveService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",ObjectiveTypes;ProjectObjectives;VisitObjectiveActivityProgresses,AddProjectObjectiveRequestDTO;DTO;InvalidRequest;ObjectiveActivityListItemDTO;ProjectObjectiveDetailDTO;ProjectObjectiveListItemDTO;ProjectObjectiveWithActivitiesDTO;Request;Response;UpdateProjectObjectiveRequestDTO
ProjectResearchCategoryService,UnifiedProjectResearchCategoryService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",ProjectResearchCategories,AddProjectResearchCategoryRequestDTO;InvalidRequest;MapToDetailDTO;MapToListItemDTO;ProjectResearchCategoryDetailDTO;ProjectResearchCategoryListItemDTO;Request;Response;UpdateProjectResearchCategoryRequestDTO
ProjectService,UnifiedProjectService,LOGIC_CHANGE,CREATED,"[('IUnitOfWork', '_uow'), ('ICurrentUserService', '_currentUser'), ('IExternalPeriodsClient', '_externalPeriods'), ('IAppUserService', '_appUsers'), ('IExternalAcademicsService', '_externalAcademics'), ('IResearchCategoryService', '_researchCategoryService'), ('ILogger<ProjectService>', '_logger'), ('IExternalDirectoryClient', '_externalDirectory'), ('IExternalDistributivosService', '_externalDistributivosRaw')]",AppUsers;Budgets;Convocations;DocumentTypes;Documents;ExternalResearcherProjects;GroupMembers;Groups;ObjectiveActivities;ProjectDocuments;ProjectExtensions;ProjectObjectives;ProjectResearchCategories;ProjectStates;Projects;Visits,AddProjectFullRequestDTO;AddProjectRequestDTO;ExternalFacultyDTO;ImportedProjectDTO;MapToDTO;ProjectBudgetDetailDTO;ProjectDetailResponseDTO;ProjectDocumentRefDTO;ProjectListResponseDTO;ProjectMatrixUploadSummaryDTO;ProjectObjectiveListItemDTO;RegisterRequest;Request;ResearchCategoryListItemDTO;Response;UpdateProjectRequestDTO
ProjectsFiltersService,UnifiedProjectsFiltersService,LOGIC_CHANGE,CREATED,"[('ICatalogQueryService', '_catalogs'), ('IExternalAcademicsService', '_extTypes'), ('ICatalogRepository<ResearchCategoryType>', '_researchTypes')]",,KeyValueItemDTO;ProjectsFilterBootstrapDTO;ResearchCategoryFilterTypeDTO;ResearchCategoryItemDTO
RefreshTokenService,,OUT_OF_SCOPE,OUT_OF_SCOPE,"[('AppDbContext', '_db'), ('DbSet<RefreshToken>', '_set')]",,
RegistrationMatrixService,,OUT_OF_SCOPE,OUT_OF_SCOPE,"[('ArticlesDbContext', '_db')]",,CreateRegistrationMatrixRequest;SubmitRegistrationMatrixRequest;UpdateRegistrationMatrixCellRequest
ResearchCategoryService,UnifiedResearchCategoryService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",ResearchCategories,AddResearchCategoryRequestDTO;Request;ResearchCategoryDetailDTO;ResearchCategoryListItemDTO;ResearchCategoryTreeItemDTO;Response;UpdateResearchCategoryRequestDTO
ResearchCategoryTypeService,UnifiedResearchCategoryTypeService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",ResearchCategoryTypes,Request;ResearchCategoryTypeCreateRequestDTO;ResearchCategoryTypeDetailDTO;ResearchCategoryTypeListItemDTO;ResearchCategoryTypeUpdateRequestDTO;Response
UserRoleService,,OUT_OF_SCOPE,OUT_OF_SCOPE,"[('UserManager<IdentityUser<int>>', '_userManager'), ('RoleManager<IdentityRole<int>>', '_roleManager')]",,
VisitIssueService,UnifiedVisitIssueService,ADAPTABLE,CREATED,"[('IVisitIssueRepository', '_issueRepo'), ('IVisitRepository', '_visitRepo'), ('IUnitOfWork', '_uow'), ('ICurrentUserService', '_currentUser')]",AppUsers,Request;Response;ToResponse;VisitIssueCreateRequestDTO;VisitIssueResponseDTO;VisitIssueUpdateRequestDTO
VisitObjectiveActivityProgressService,UnifiedVisitObjectiveActivityProgressService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",ObjectiveActivities;ProjectObjectives;VisitObjectiveActivityProgresses;Visits,InvalidRequest;Request;Response;UpsertSingleVisitObjectiveActivityProgressRequestDTO;VisitObjectiveActivityProgressSingleResponseDTO
VisitService,UnifiedVisitService,DIRECT,CREATED,"[('IUnitOfWork', '_uow')]",Projects;VisitStates;Visits,AddVisitRequestDTO;BulkInvalidRequest;BulkScheduleVisitsRequestDTO;FinalizeVisitRequestDTO;MapToDetailDTO;MapToListDTO;Request;Response;UpdateVisitRequestDTO;VisitDetailResponseDTO;VisitListResponseDTO;VisitPlannedForExecutionListDTO
(nueva entidad Author),UnifiedAuthorService,DIRECT,CREATED,IUnifiedUnitOfWork,Authors;AppUsers;ExternalResearchers;ProductAuthors,UnifiedAuthorWriteRequest;UnifiedAuthorResponse
DwEtlService,,OUT_OF_SCOPE,OUT_OF_SCOPE,DW/Articles contexts,,
DideProjectFormParser,(reutilizado),OUT_OF_SCOPE,OUT_OF_SCOPE,Parser puro; sin contexto/UoW,,
PdfTextExtractor,(reutilizado),OUT_OF_SCOPE,OUT_OF_SCOPE,Parser puro; sin contexto/UoW,,
ResolutionParser,(reutilizado),OUT_OF_SCOPE,OUT_OF_SCOPE,Parser puro; sin contexto/UoW,,
