model,source,target,owner,name,type,path,line
legacy,ConvocationRule,ConvocationRuleIndexing,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ConvocationRule.ConvocationRule,AllowedIndexings,ICollection<ConvocationRuleIndexing>?,tesisproject.shared/Entities/Core/ConvocationRule.cs,29
legacy,UserFacultyScopeAssignment,AppUser,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.UserFacultyScopeAssignment.UserFacultyScopeAssignment,User,AppUser,tesisproject.shared/Entities/Core/UserFacultyScopeAssignment.cs,18
legacy,UserFacultyScopeAssignment,FacultyScope,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.UserFacultyScopeAssignment.UserFacultyScopeAssignment,FacultyScope,FacultyScope,tesisproject.shared/Entities/Core/UserFacultyScopeAssignment.cs,19
legacy,ProductValue,Product,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Products.ProductValue.ProductValue,Product,Product?,tesisproject.shared/Entities/Core/Products/ProductValue.cs,49
legacy,ProductValue,ProductAttributeDefinition,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Products.ProductValue.ProductValue,AttributeDefinition,ProductAttributeDefinition?,tesisproject.shared/Entities/Core/Products/ProductValue.cs,50
legacy,FactProduct,DimFaculty,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactProduct.FactProduct,Faculty,DimFaculty,tesisproject.shared/Entities/Analytics/Dw/Facts/FactProduct.cs,33
legacy,FactProduct,DimProductType,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactProduct.FactProduct,ProductType,DimProductType,tesisproject.shared/Entities/Analytics/Dw/Facts/FactProduct.cs,34
legacy,FactProduct,DimDate,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactProduct.FactProduct,CreatedDate,DimDate,tesisproject.shared/Entities/Analytics/Dw/Facts/FactProduct.cs,36
legacy,FactProduct,DimIndexingDatabase,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactProduct.FactProduct,IndexingDatabase,DimIndexingDatabase?,tesisproject.shared/Entities/Analytics/Dw/Facts/FactProduct.cs,39
legacy,FactProduct,DimQuartile,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactProduct.FactProduct,Quartile,DimQuartile?,tesisproject.shared/Entities/Analytics/Dw/Facts/FactProduct.cs,40
legacy,BridgeProjectResearchCategory,DimResearchCategory,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Bridges.BridgeProjectResearchCategory.BridgeProjectResearchCategory,ResearchCategory,DimResearchCategory,tesisproject.shared/Entities/Analytics/Dw/Bridges/BridgeProjectResearchCategory.cs,28
legacy,BridgeProjectResearchCategory,FactProject,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Bridges.BridgeProjectResearchCategory.BridgeProjectResearchCategory,Project,FactProject,tesisproject.shared/Entities/Analytics/Dw/Bridges/BridgeProjectResearchCategory.cs,29
legacy,ConvocationRuleIndexing,ConvocationRule,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ConvocationRuleIndexing.ConvocationRuleIndexing,ConvocationRule,ConvocationRule?,tesisproject.shared/Entities/Core/ConvocationRuleIndexing.cs,24
legacy,ConvocationRuleIndexing,IndexingSource,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ConvocationRuleIndexing.ConvocationRuleIndexing,IndexingSource,IndexingSource?,tesisproject.shared/Entities/Core/ConvocationRuleIndexing.cs,25
legacy,BudgetTransaction,Budget,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.BudgetTransaction.BudgetTransaction,Budget,Budget,tesisproject.shared/Entities/Core/BudgetTransaction.cs,79
legacy,VisitIssue,Visit,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.VisitIssue.VisitIssue,Visit,Visit,tesisproject.shared/Entities/Core/VisitIssue.cs,51
legacy,ResearchCategoryGroup,ResearchCategoryType,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Catalogs.ResearchCategoryGroup.ResearchCategoryGroup,Types,ICollection<ResearchCategoryType>,tesisproject.shared/Entities/Catalogs/ResearchCategoryGroup.cs,12
legacy,Visit,Project,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Visit.Visit,Project,Project,tesisproject.shared/Entities/Core/Visit.cs,52
legacy,Visit,Document,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Visit.Visit,Document,Document?,tesisproject.shared/Entities/Core/Visit.cs,54
legacy,Visit,Document,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Visit.Visit,FundingDocument,Document?,tesisproject.shared/Entities/Core/Visit.cs,55
legacy,Visit,Document,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Visit.Visit,ProgressDocument,Document?,tesisproject.shared/Entities/Core/Visit.cs,56
legacy,Visit,VisitIssue,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Visit.Visit,Issues,ICollection<VisitIssue>,tesisproject.shared/Entities/Core/Visit.cs,57
legacy,Visit,Product,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Visit.Visit,Products,ICollection<Product>,tesisproject.shared/Entities/Core/Visit.cs,58
legacy,Visit,VisitObjectiveActivityProgress,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Visit.Visit,ActivityProgresses,ICollection<VisitObjectiveActivityProgress>,tesisproject.shared/Entities/Core/Visit.cs,59
legacy,Product,ProductValue,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Products.Product.Product,Values,ICollection<ProductValue>?,tesisproject.shared/Entities/Core/Products/Product.cs,47
legacy,Product,ProductAuthor,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Products.Product.Product,Authors,ICollection<ProductAuthor>?,tesisproject.shared/Entities/Core/Products/Product.cs,48
legacy,Product,Project,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Products.Product.Product,Project,Project?,tesisproject.shared/Entities/Core/Products/Product.cs,50
legacy,Product,Visit,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Products.Product.Product,Visit,Visit?,tesisproject.shared/Entities/Core/Products/Product.cs,51
legacy,DimDate,FactProject,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimDate.DimDate,ApprovalProjects,ICollection<FactProject>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimDate.cs,26
legacy,DimDate,FactProject,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimDate.DimDate,StartProjects,ICollection<FactProject>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimDate.cs,27
legacy,DimDate,FactProject,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimDate.DimDate,EndProjects,ICollection<FactProject>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimDate.cs,28
legacy,DimDate,FactBudget,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimDate.DimDate,ApprovedBudgets,ICollection<FactBudget>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimDate.cs,30
legacy,DimDate,FactProduct,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimDate.DimDate,CreatedProducts,ICollection<FactProduct>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimDate.cs,31
legacy,Project,Group,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Project.Project,ProjectGroup,Group,tesisproject.shared/Entities/Core/Project.cs,75
legacy,Project,Budget,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Project.Project,Budgets,ICollection<Budget>,tesisproject.shared/Entities/Core/Project.cs,76
legacy,Project,ProjectObjective,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Project.Project,ProjectObjectives,ICollection<ProjectObjective>,tesisproject.shared/Entities/Core/Project.cs,77
legacy,Project,ExternalResearcherProject,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Project.Project,ExternalResearcherProjects,ICollection<ExternalResearcherProject>,tesisproject.shared/Entities/Core/Project.cs,82
legacy,Project,Visit,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Project.Project,Visits,ICollection<Visit>,tesisproject.shared/Entities/Core/Project.cs,83
legacy,Project,Product,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Project.Project,Products,ICollection<Product>,tesisproject.shared/Entities/Core/Project.cs,84
legacy,Project,Convocation,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Project.Project,Convocation,Convocation,tesisproject.shared/Entities/Core/Project.cs,85
legacy,Project,ProjectResearchCategory,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Project.Project,ProjectResearchCategories,ICollection<ProjectResearchCategory>,tesisproject.shared/Entities/Core/Project.cs,86
legacy,Project,ProjectDocument,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Project.Project,ProjectDocuments,ICollection<ProjectDocument>,tesisproject.shared/Entities/Core/Project.cs,89
legacy,Project,ProjectExtension,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Project.Project,ProjectExtensions,ICollection<ProjectExtension>,tesisproject.shared/Entities/Core/Project.cs,90
legacy,ResearchCategory,ResearchCategoryType,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Catalogs.ResearchCategory.ResearchCategory,ResearchCategoryType,ResearchCategoryType,tesisproject.shared/Entities/Catalogs/ResearchCategory.cs,17
legacy,ResearchCategory,ResearchCategory,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Catalogs.ResearchCategory.ResearchCategory,ParentCategory,ResearchCategory?,tesisproject.shared/Entities/Catalogs/ResearchCategory.cs,24
legacy,ResearchCategory,ResearchCategory,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Catalogs.ResearchCategory.ResearchCategory,SubCategories,ICollection<ResearchCategory>,tesisproject.shared/Entities/Catalogs/ResearchCategory.cs,34
legacy,ResearchCategory,ProjectResearchCategory,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Catalogs.ResearchCategory.ResearchCategory,ProjectResearchCategories,ICollection<ProjectResearchCategory>,tesisproject.shared/Entities/Catalogs/ResearchCategory.cs,41
legacy,DimResearchCategory,BridgeProjectResearchCategory,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimResearchCategory.DimResearchCategory,ProjectLinks,ICollection<BridgeProjectResearchCategory>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimResearchCategory.cs,34
legacy,FacultyScopeFaculty,FacultyScope,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.FacultyScopeFaculty.FacultyScopeFaculty,FacultyScope,FacultyScope,tesisproject.shared/Entities/Core/FacultyScopeFaculty.cs,17
legacy,ProductAttribute,ProductAttributeDefinition,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Catalogs.ProductAttribute.ProductAttribute,TypeDefinitions,ICollection<ProductAttributeDefinition>?,tesisproject.shared/Entities/Catalogs/ProductAttribute.cs,37
legacy,ProductAttribute,ProductValue,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Catalogs.ProductAttribute.ProductAttribute,Values,ICollection<ProductValue>?,tesisproject.shared/Entities/Catalogs/ProductAttribute.cs,42
legacy,ProjectResearchCategory,Project,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ProjectResearchCategory.ProjectResearchCategory,Project,Project,tesisproject.shared/Entities/Core/ProjectResearchCategory.cs,15
legacy,ProjectResearchCategory,ResearchCategory,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ProjectResearchCategory.ProjectResearchCategory,ResearchCategory,ResearchCategory,tesisproject.shared/Entities/Core/ProjectResearchCategory.cs,18
legacy,ExternalResearcher,Institution,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ExternalResearcher.ExternalResearcher,Institution,Institution?,tesisproject.shared/Entities/Core/ExternalResearcher.cs,38
legacy,ExternalResearcher,ExternalResearcherProject,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ExternalResearcher.ExternalResearcher,ExternalResearcherProjects,ICollection<ExternalResearcherProject>,tesisproject.shared/Entities/Core/ExternalResearcher.cs,43
legacy,Document,ProjectDocument,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Document.Document,ProjectDocuments,ICollection<ProjectDocument>,tesisproject.shared/Entities/Core/Document.cs,44
legacy,Country,Institution,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Catalogs.Country.Country,Institutions,ICollection<Institution>?,tesisproject.shared/Entities/Catalogs/Country.cs,21
legacy,GroupMember,Group,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.GroupMember.GroupMember,Group,Group,tesisproject.shared/Entities/Core/GroupMember.cs,39
legacy,GroupMember,MemberRoleType,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.GroupMember.GroupMember,MemberRole,MemberRoleType?,tesisproject.shared/Entities/Core/GroupMember.cs,40
legacy,Convocation,ConvocationRule,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Convocation.Convocation,Rules,ICollection<ConvocationRule>?,tesisproject.shared/Entities/Core/Convocation.cs,15
legacy,Convocation,Project,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Convocation.Convocation,Projects,ICollection<Project>?,tesisproject.shared/Entities/Core/Convocation.cs,16
legacy,DimQuartile,FactProduct,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimQuartile.DimQuartile,Products,ICollection<FactProduct>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimQuartile.cs,30
legacy,FacultyScope,FacultyScopeFaculty,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.FacultyScope.FacultyScope,Faculties,ICollection<FacultyScopeFaculty>,tesisproject.shared/Entities/Core/FacultyScope.cs,16
legacy,FacultyScope,UserFacultyScopeAssignment,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.FacultyScope.FacultyScope,UserAssignments,ICollection<UserFacultyScopeAssignment>,tesisproject.shared/Entities/Core/FacultyScope.cs,17
legacy,DimFundingType,FactBudget,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimFundingType.DimFundingType,Budgets,ICollection<FactBudget>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimFundingType.cs,23
legacy,ProjectDocument,Project,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ProjectDocument.ProjectDocument,Project,Project,tesisproject.shared/Entities/Core/ProjectDocument.cs,35
legacy,ProjectDocument,Document,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ProjectDocument.ProjectDocument,Document,Document,tesisproject.shared/Entities/Core/ProjectDocument.cs,36
legacy,VisitObjectiveActivityProgress,Visit,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.VisitObjectiveActivityProgress.VisitObjectiveActivityProgress,Visit,Visit,tesisproject.shared/Entities/Core/VisitObjectiveActivityProgress.cs,22
legacy,VisitObjectiveActivityProgress,ObjectiveActivity,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.VisitObjectiveActivityProgress.VisitObjectiveActivityProgress,ObjectiveActivity,ObjectiveActivity,tesisproject.shared/Entities/Core/VisitObjectiveActivityProgress.cs,23
legacy,ResearchCategoryType,ResearchCategoryGroup,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Catalogs.ResearchCategoryType.ResearchCategoryType,ResearchCategoryGroup,ResearchCategoryGroup,tesisproject.shared/Entities/Catalogs/ResearchCategoryType.cs,13
legacy,ResearchCategoryType,ResearchCategory,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Catalogs.ResearchCategoryType.ResearchCategoryType,ResearchCategories,ICollection<ResearchCategory>,tesisproject.shared/Entities/Catalogs/ResearchCategoryType.cs,15
legacy,ProductAttributeDefinition,ProductAttribute,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Products.ProductAttributeDefinition.ProductAttributeDefinition,ProductAttribute,ProductAttribute?,tesisproject.shared/Entities/Core/Products/ProductAttributeDefinition.cs,51
legacy,ProductAttributeDefinition,ProductValue,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Products.ProductAttributeDefinition.ProductAttributeDefinition,ProductValues,ICollection<ProductValue>?,tesisproject.shared/Entities/Core/Products/ProductAttributeDefinition.cs,56
legacy,FactBudget,DimFaculty,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactBudget.FactBudget,Faculty,DimFaculty,tesisproject.shared/Entities/Analytics/Dw/Facts/FactBudget.cs,32
legacy,FactBudget,DimFundingType,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactBudget.FactBudget,FundingType,DimFundingType,tesisproject.shared/Entities/Analytics/Dw/Facts/FactBudget.cs,33
legacy,FactBudget,DimDate,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactBudget.FactBudget,ApprovedDate,DimDate,tesisproject.shared/Entities/Analytics/Dw/Facts/FactBudget.cs,35
legacy,ObjectiveActivity,ProjectObjective,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ObjectiveActivity.ObjectiveActivity,Objective,ProjectObjective,tesisproject.shared/Entities/Core/ObjectiveActivity.cs,26
legacy,ObjectiveActivity,ObjectiveActivityUser,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ObjectiveActivity.ObjectiveActivity,ResponsibleUsers,ICollection<ObjectiveActivityUser>,tesisproject.shared/Entities/Core/ObjectiveActivity.cs,27
legacy,ObjectiveActivity,VisitObjectiveActivityProgress,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ObjectiveActivity.ObjectiveActivity,VisitProgresses,ICollection<VisitObjectiveActivityProgress>,tesisproject.shared/Entities/Core/ObjectiveActivity.cs,28
legacy,ProjectExtensionType,ProjectExtension,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Catalogs.ProjectExtensionType.ProjectExtensionType,ProjectExtensions,ICollection<ProjectExtension>,tesisproject.shared/Entities/Catalogs/ProjectExtensionType.cs,13
legacy,ExportField,ExportTemplateColumn,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Export.ExportField.ExportField,TemplateColumns,ICollection<ExportTemplateColumn>,tesisproject.shared/Entities/Export/ExportField.cs,66
legacy,FactProject,DimFaculty,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactProject.FactProject,Faculty,DimFaculty,tesisproject.shared/Entities/Analytics/Dw/Facts/FactProject.cs,34
legacy,FactProject,DimProjectState,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactProject.FactProject,ProjectState,DimProjectState,tesisproject.shared/Entities/Analytics/Dw/Facts/FactProject.cs,35
legacy,FactProject,DimDate,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactProject.FactProject,ApprovalDate,DimDate,tesisproject.shared/Entities/Analytics/Dw/Facts/FactProject.cs,37
legacy,FactProject,DimDate,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactProject.FactProject,StartDate,DimDate,tesisproject.shared/Entities/Analytics/Dw/Facts/FactProject.cs,40
legacy,FactProject,DimDate,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Facts.FactProject.FactProject,EndDate,DimDate,tesisproject.shared/Entities/Analytics/Dw/Facts/FactProject.cs,43
legacy,ProjectObjective,Project,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ProjectObjective.ProjectObjective,Project,Project,tesisproject.shared/Entities/Core/ProjectObjective.cs,42
legacy,ProjectObjective,ObjectiveActivity,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.ProjectObjective.ProjectObjective,Activities,ICollection<ObjectiveActivity>,tesisproject.shared/Entities/Core/ProjectObjective.cs,44
legacy,ExportTemplate,ExportTemplateColumn,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Export.ExportTemplate.ExportTemplate,Columns,ICollection<ExportTemplateColumn>,tesisproject.shared/Entities/Export/ExportTemplate.cs,48
legacy,DimFaculty,FactProject,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimFaculty.DimFaculty,Projects,ICollection<FactProject>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimFaculty.cs,23
legacy,DimFaculty,FactBudget,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimFaculty.DimFaculty,Budgets,ICollection<FactBudget>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimFaculty.cs,24
legacy,DimFaculty,FactProduct,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimFaculty.DimFaculty,Products,ICollection<FactProduct>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimFaculty.cs,25
legacy,Budget,Project,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Budget.Budget,Project,Project,tesisproject.shared/Entities/Core/Budget.cs,46
legacy,Budget,BudgetTransaction,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Budget.Budget,Transactions,ICollection<BudgetTransaction>,tesisproject.shared/Entities/Core/Budget.cs,50
legacy,Group,GroupMember,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Group.Group,Members,ICollection<GroupMember>,tesisproject.shared/Entities/Core/Group.cs,38
legacy,ProductAuthor,Product,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Core.Products.ProductAuthor.ProductAuthor,Product,Product?,tesisproject.shared/Entities/Core/Products/ProductAuthor.cs,38
legacy,DimProductType,FactProduct,C-Users-marlo-source-repos-TesisProject.tesisproject.shared.Entities.Analytics.Dw.Dimensions.DimProductType.DimProductType,Products,ICollection<FactProduct>,tesisproject.shared/Entities/Analytics/Dw/Dimensions/DimProductType.cs,23
unified,VisitObjectiveActivityProgress,Visit,C-Users-marlo-source-repos-TesisProject.tesisproject.backend.Data.UnifiedEntities.Core.VisitObjectiveActivityProgress.VisitObjectiveActivityProgress,Visit,Visit,tesisproject.backend/Data/UnifiedEntities/Core/VisitObjectiveActivityProgress.cs,22
unified,VisitObjectiveActivityProgress,ObjectiveActivity,C-Users-marlo-source-repos-TesisProject.tesisproject.backend.Data.UnifiedEntities.Core.VisitObjectiveActivityProgress.VisitObjectiveActivityProgress,ObjectiveActivity,ObjectiveActivity,tesisproject.backend/Data/UnifiedEntities/Core/VisitObjectiveActivityProgress.cs,23
unified,UserFacultyScopeAssignment,AppUser,C-Users-marlo-source-repos-TesisProject.tesisproject.backend.Data.UnifiedEntities.Core.UserFacultyScopeAssignment.UserFacultyScopeAssignment,User,AppUser,tesisproject.backend/Data/UnifiedEntities/Core/UserFacultyScopeAssignment.cs,18
unified,UserFacultyScopeAssignment,FacultyScope,C-Users-marlo-source-repos-TesisProject.tesisproject.backend.Data.UnifiedEntities.Core.UserFacultyScopeAssignment.UserFacultyScopeAssignment,FacultyScope,FacultyScope,tesisproject.backend/Data/UnifiedEntities/Core/UserFacultyScopeAssignment.cs,19
unified,PublicationStatus,Article,C-Users-marlo-source-repos-TesisProject.tesisproject.backend.Data.UnifiedEntities.Articles.PublicationStatus.PublicationStatus,Articles,ICollection<Article>,tesisproject.backend/Data/UnifiedEntities/Articles/PublicationStatus.cs,9
unified,Visit,Project,C-Users-marlo-source-repos-TesisProject.tesisproject.backend.Data.UnifiedEntities.Core.Visit.Visit,Project,Project,tesisproject.backend/Data/UnifiedEntities/Core/Visit.cs,52
