category,file,line,reference,usage
docs,docs/unified-dide-poc.md,72,AcademicPeriodId,"| Períodos | `ExternalAcademicPeriodModel`: PeriodId, Name, StartDate, EndDate. `AcademicTerm` conserva PK local y agrega ExternalPeriodId UNIQUE nullable, fechas y LastSyncedAt. Fechas ambas ausentes o ambas presentes en orden correcto mediante CHECK, para permitir registros locales aún no conciliados. Visits.AcademicPeriodId y Articles.AcademicTermId apuntan a este mismo catálogo. |"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Configuration/ServiceCollectionExtensions.cs,47,AppDbContext,services.AddDbContext<AppDbContext>(opt =>
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Configuration/ServiceCollectionExtensions.cs,116,AppDbContext,.AddEntityFrameworkStores<AppDbContext>()
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Configuration/WebApplicationExtensions.cs,42,AppDbContext,var db = scope.ServiceProvider.GetRequiredService<AppDbContext>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Configuration/WebApplicationExtensions.cs,154,AppDbContext,"private static async Task EnsureIdentitySchemaAsync(AppDbContext db, ILogger logger)"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Configuration/WebApplicationExtensions.cs,281,AppDbContext,"private static async Task EnsureRegistrationMatrixModuleTablesAsync(AppDbContext db, ILogger logger)"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Configuration/WebApplicationExtensions.cs,367,AppDbContext,"private static async Task EnsureInstitutionalSettingsSchemaAsync(AppDbContext db, ILogger logger)"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Configuration/WebApplicationExtensions.cs,391,AppDbContext,"private static async Task EnsureWorkflowModuleSchemaAsync(AppDbContext db, ILogger logger)"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Controllers/Modules/CatalogAdministration/CatalogsController.cs,24,AppDbContext,private readonly AppDbContext _db;
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Controllers/Modules/CatalogAdministration/CatalogsController.cs,27,AppDbContext,"public CatalogsController(AppDbContext db, ILogger<CatalogsController> logger)"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContext.cs,10,AppDbContext,"public class AppDbContext : IdentityDbContext<ApplicationUser, ApplicationRole, string>"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContext.cs,12,AppDbContext,public AppDbContext(DbContextOptions<AppDbContext> opt) : base(opt) { }
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContext.cs,12,AppDbContext,public AppDbContext(DbContextOptions<AppDbContext> opt) : base(opt) { }
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContext.cs,16,ArticleParticipant,public DbSet<ArticleParticipant> ArticleParticipants => Set<ArticleParticipant>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContext.cs,16,ArticleParticipants,public DbSet<ArticleParticipant> ArticleParticipants => Set<ArticleParticipant>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContext.cs,16,ArticleParticipant,public DbSet<ArticleParticipant> ArticleParticipants => Set<ArticleParticipant>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContext.cs,44,ArticleParticipantDynamicFieldValue,public DbSet<ArticleParticipantDynamicFieldValue> ArticleParticipantDynamicFieldValues => Set<ArticleParticipantDynamicFieldValue>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContext.cs,44,ArticleParticipantDynamicFieldValues,public DbSet<ArticleParticipantDynamicFieldValue> ArticleParticipantDynamicFieldValues => Set<ArticleParticipantDynamicFieldValue>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContext.cs,44,ArticleParticipantDynamicFieldValue,public DbSet<ArticleParticipantDynamicFieldValue> ArticleParticipantDynamicFieldValues => Set<ArticleParticipantDynamicFieldValue>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContextFactory.cs,9,AppDbContext,public class AppDbContextFactory : IDesignTimeDbContextFactory<AppDbContext>
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContextFactory.cs,9,AppDbContext,public class AppDbContextFactory : IDesignTimeDbContextFactory<AppDbContext>
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContextFactory.cs,11,AppDbContext,public AppDbContext CreateDbContext(string[] args)
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContextFactory.cs,29,AppDbContext,var optionsBuilder = new DbContextOptionsBuilder<AppDbContext>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/AppDbContextFactory.cs,32,AppDbContext,return new AppDbContext(optionsBuilder.Options);
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Configurations/ArticleParticipantConfiguration.cs,7,ArticleParticipant,public sealed class ArticleParticipantConfiguration : IEntityTypeConfiguration<ArticleParticipant>
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Configurations/ArticleParticipantConfiguration.cs,7,ArticleParticipant,public sealed class ArticleParticipantConfiguration : IEntityTypeConfiguration<ArticleParticipant>
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Configurations/ArticleParticipantConfiguration.cs,9,ArticleParticipant,public void Configure(EntityTypeBuilder<ArticleParticipant> entity)
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Configurations/DynamicFormsConfigurations.cs,97,ArticleParticipantDynamicFieldValue,public sealed class ArticleParticipantDynamicFieldValueConfiguration : IEntityTypeConfiguration<ArticleParticipantDynamicFieldValue>
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Configurations/DynamicFormsConfigurations.cs,97,ArticleParticipantDynamicFieldValue,public sealed class ArticleParticipantDynamicFieldValueConfiguration : IEntityTypeConfiguration<ArticleParticipantDynamicFieldValue>
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Configurations/DynamicFormsConfigurations.cs,99,ArticleParticipantDynamicFieldValue,public void Configure(EntityTypeBuilder<ArticleParticipantDynamicFieldValue> entity)
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Configurations/DynamicFormsConfigurations.cs,101,ArticleParticipantDynamicFieldValues,"entity.ToTable(""ArticleParticipantDynamicFieldValues"");"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Configurations/DynamicFormsConfigurations.cs,102,ArticleParticipantDynamicFieldValue,entity.HasKey(x => x.ArticleParticipantDynamicFieldValueId);
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Configurations/DynamicFormsConfigurations.cs,105,ArticleParticipant,entity.HasOne(x => x.ArticleParticipant)
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Configurations/DynamicFormsConfigurations.cs,107,ArticleParticipant,.HasForeignKey(x => x.ArticleParticipantId)
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Entities/Article.cs,39,ArticleParticipant,public ICollection<ArticleParticipant> Participants { get; set; } = new List<ArticleParticipant>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Entities/Article.cs,39,ArticleParticipant,public ICollection<ArticleParticipant> Participants { get; set; } = new List<ArticleParticipant>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Entities/ArticleParticipant.cs,3,ArticleParticipant,public class ArticleParticipant
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Entities/ArticleParticipant.cs,27,ArticleParticipantDynamicFieldValue,public ICollection<ArticleParticipantDynamicFieldValue> DynamicFieldValues { get; set; } = new List<ArticleParticipantDynamicFieldValue>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Entities/ArticleParticipant.cs,27,ArticleParticipantDynamicFieldValue,public ICollection<ArticleParticipantDynamicFieldValue> DynamicFieldValues { get; set; } = new List<ArticleParticipantDynamicFieldValue>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Entities/ArticleParticipantDynamicFieldValue.cs,3,ArticleParticipantDynamicFieldValue,public class ArticleParticipantDynamicFieldValue
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Entities/ArticleParticipantDynamicFieldValue.cs,5,ArticleParticipantDynamicFieldValue,public int ArticleParticipantDynamicFieldValueId { get; set; }
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Entities/ArticleParticipantDynamicFieldValue.cs,6,ArticleParticipant,public int ArticleParticipantId { get; set; }
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Entities/ArticleParticipantDynamicFieldValue.cs,17,ArticleParticipant,public ArticleParticipant ArticleParticipant { get; set; } = default!;
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Data/Entities/ArticleParticipantDynamicFieldValue.cs,17,ArticleParticipant,public ArticleParticipant ArticleParticipant { get; set; } = default!;
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Mapping/ArticleMapping.cs,96,ArticleParticipant,.Select(p => new ArticleParticipantDto
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/20251108083238_InitialCreate.cs,15,ArticleParticipants,"table: ""ArticleParticipants"","
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/20251108083238_InitialCreate.cs,31,ArticleParticipants,"table: ""ArticleParticipants"","
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/20251108083238_InitialCreate.Designer.cs,14,AppDbContext,[DbContext(typeof(AppDbContext))]
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/20251108083238_InitialCreate.Designer.cs,312,ArticleParticipant,"modelBuilder.Entity(""tesisproject.backend.Data.Entities.ArticleParticipant"", b =>"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/20251108083238_InitialCreate.Designer.cs,344,ArticleParticipants,"b.ToTable(""ArticleParticipants"");"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/20251108083238_InitialCreate.Designer.cs,862,ArticleParticipant,"modelBuilder.Entity(""tesisproject.backend.Data.Entities.ArticleParticipant"", b =>"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/20251108111353_AddIsOpenAccessAndIndexingSupport.Designer.cs,14,AppDbContext,[DbContext(typeof(AppDbContext))]
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/20251108111353_AddIsOpenAccessAndIndexingSupport.Designer.cs,317,ArticleParticipant,"modelBuilder.Entity(""tesisproject.backend.Data.Entities.ArticleParticipant"", b =>"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/20251108111353_AddIsOpenAccessAndIndexingSupport.Designer.cs,349,ArticleParticipants,"b.ToTable(""ArticleParticipants"");"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/20251108111353_AddIsOpenAccessAndIndexingSupport.Designer.cs,867,ArticleParticipant,"modelBuilder.Entity(""tesisproject.backend.Data.Entities.ArticleParticipant"", b =>"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/20260328232015_AddRegistrationMatrixModule.cs,10,AppDbContext,[DbContext(typeof(AppDbContext))]
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,13,AppDbContext,[DbContext(typeof(AppDbContext))]
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,14,AppDbContext,partial class AppDbContextModelSnapshot : ModelSnapshot
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,322,ArticleParticipant,"modelBuilder.Entity(""tesisproject.backend.Data.Entities.ArticleParticipant"", b =>"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,388,ArticleParticipants,"b.ToTable(""ArticleParticipants"");"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,391,ArticleParticipantDynamicFieldValue,"modelBuilder.Entity(""tesisproject.backend.Data.Entities.ArticleParticipantDynamicFieldValue"", b =>"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,393,ArticleParticipantDynamicFieldValue,"b.Property<int>(""ArticleParticipantDynamicFieldValueId"")"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,397,ArticleParticipantDynamicFieldValue,"SqlServerPropertyBuilderExtensions.UseIdentityColumn(b.Property<int>(""ArticleParticipantDynamicFieldValueId""));"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,399,ArticleParticipant,"b.Property<int>(""ArticleParticipantId"")"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,430,ArticleParticipantDynamicFieldValue,"b.HasKey(""ArticleParticipantDynamicFieldValueId"");"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,432,ArticleParticipant,"b.HasIndex(""ArticleParticipantId"");"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,436,ArticleParticipantDynamicFieldValues,"b.ToTable(""ArticleParticipantDynamicFieldValues"", (string)null);"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,1566,ArticleParticipant,"modelBuilder.Entity(""tesisproject.backend.Data.Entities.ArticleParticipant"", b =>"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,1577,ArticleParticipantDynamicFieldValue,"modelBuilder.Entity(""tesisproject.backend.Data.Entities.ArticleParticipantDynamicFieldValue"", b =>"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,1579,ArticleParticipant,"b.HasOne(""tesisproject.backend.Data.Entities.ArticleParticipant"", ""ArticleParticipant"")"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,1579,ArticleParticipant,"b.HasOne(""tesisproject.backend.Data.Entities.ArticleParticipant"", ""ArticleParticipant"")"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,1581,ArticleParticipant,".HasForeignKey(""ArticleParticipantId"")"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,1591,ArticleParticipant,"b.Navigation(""ArticleParticipant"");"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Migrations/AppDbContextModelSnapshot.cs,1808,ArticleParticipant,"modelBuilder.Entity(""tesisproject.backend.Data.Entities.ArticleParticipant"", b =>"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/Articles/ArticlesService.cs,25,AppDbContext,private readonly AppDbContext _db;
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/Articles/ArticlesService.cs,30,AppDbContext,"AppDbContext db,"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/Articles/ArticlesService.cs,1035,ArticleParticipant,"await ReplaceParticipantsAsync(article.Id, request.Participants ?? new List<ArticleParticipantRequest>(), ct);"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/Articles/ArticlesService.cs,1100,ArticleParticipant,"await ReplaceParticipantsAsync(article.Id, request.Participants ?? new List<ArticleParticipantRequest>(), ct);"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/Articles/ArticlesService.cs,1127,ArticleParticipants,_db.ArticleParticipants.RemoveRange(entity.Participants);
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/Articles/ArticlesService.cs,1248,ArticleParticipant,"List<ArticleParticipantRequest> participants,"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/Articles/ArticlesService.cs,1252,ArticleParticipant,var cleaned = (participants ?? new List<ArticleParticipantRequest>())
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/Articles/ArticlesService.cs,1254,ArticleParticipant,.Select(p => new ArticleParticipantRequest
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/Articles/ArticlesService.cs,1269,ArticleParticipants,var existing = await _db.ArticleParticipants
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/Articles/ArticlesService.cs,1274,ArticleParticipants,_db.ArticleParticipants.RemoveRange(existing);
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/Articles/ArticlesService.cs,1279,ArticleParticipant,var news = cleaned.Select(p => new ArticleParticipant
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/Articles/ArticlesService.cs,1288,ArticleParticipants,"await _db.ArticleParticipants.AddRangeAsync(news, ct);"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,21,AppDbContext,private readonly AppDbContext _db;
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,43,AppDbContext,"AppDbContext db,"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,84,ArticleParticipant,"var participantFields = await ResolveTemplateFieldsAsync(""ArticleParticipant"", request.ParticipantFieldIds, request.UseActiveFormsWhenEmpty, ct);"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,442,ArticleParticipant,"var participantFields = await ResolveTemplateFieldsAsync(""ArticleParticipant"", new List<int>(), true, ct);"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,508,ArticleParticipant,"var participantFields = await ResolveTemplateFieldsAsync(""ArticleParticipant"", new List<int>(), true, ct);"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,576,ArticleParticipant,"var participantFields = await ResolveTemplateFieldsAsync(""ArticleParticipant"", new List<int>(), true, ct);"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,704,ArticleParticipant,"AddDynamicCells(primaryParticipant?.DynamicFields ?? new List<DynamicFieldValueInputDto>(), ""ArticleParticipant"", allFields, rawData, cellsToCreate, row.ImportBatchRowId, normalizer, now);"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,790,ArticleParticipant,".Where(x => x.EntityName == ""Article"" || x.EntityName == ""ArticleParticipant"")"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,814,ArticleParticipant,"ParticipantFieldIds = fields.Where(x => x.EntityName == ""ArticleParticipant"").OrderBy(x => columnOrder.TryGetValue(x.FieldId, out var participantOrder) ? participantOrder : int.MaxValue).ThenBy(x => x.DisplayOrder).Select(x => x.FieldId).ToList(),"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,928,ArticleParticipant,var participant = new ArticleParticipantAggregateDto
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,1060,ArticleParticipant,"private static void ApplyMatrixParticipantCell(ArticleParticipantAggregateDto participant, FieldCatalogEntry field, string value)"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,1062,ArticleParticipant,"if (!string.Equals(field.EntityName, ""ArticleParticipant"", StringComparison.OrdinalIgnoreCase))"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,1101,ArticleParticipant,request.Participants ??= new List<ArticleParticipantAggregateDto>();
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,1130,ArticleParticipant,"if (string.Equals(field.EntityName, ""ArticleParticipant"", StringComparison.OrdinalIgnoreCase))"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,1135,ArticleParticipant,participant = new ArticleParticipantAggregateDto
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,1430,ArticleParticipant,".Where(x => requestedFieldIds.Contains(x.FieldId) && (x.EntityName == ""Article"" || x.EntityName == ""ArticleParticipant""))"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,1527,ArticleParticipant,"await _db.Database.ExecuteSqlInterpolatedAsync($""EXEC dbo.sp_ValidateImportBatch_ArticleParticipant {batchId}"", ct);"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,1733,ArticleParticipants,_db.ArticleParticipants.Add(new ArticleParticipant
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,1733,ArticleParticipant,_db.ArticleParticipants.Add(new ArticleParticipant
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,2099,ArticleParticipant,|| entry.Entity is ArticleParticipant
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,2553,ArticleParticipant,".Where(x => x.IsActive && (x.EntityName == ""Article"" || x.EntityName == ""ArticleParticipant""))"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,2928,ArticleParticipant,"persistedFields.AddRange(await ResolveStoredTemplateFieldsAsync(""ArticleParticipant"", persistedFieldIds.ParticipantFieldIds, ct));"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,2947,ArticleParticipant,"metadataRequiredFields.AddRange(await ResolveStoredTemplateFieldsAsync(""ArticleParticipant"", metadataFieldIds.ParticipantFieldIds, ct));"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,2980,ArticleParticipant,"&& (x.EntityName == ""Article"" || x.EntityName == ""ArticleParticipant""))"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,2994,ArticleParticipant,"requiredFields.AddRange(await ResolveRequiredProcessFieldsByEntityAsync(""ArticleParticipant"", ct));"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,3009,ArticleParticipant,": entityName.Equals(""ArticleParticipant"", StringComparison.OrdinalIgnoreCase)"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,3010,ArticleParticipant,"? ""ArticleParticipantForm"""
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,3062,ArticleParticipant,"ParticipantFieldIds = (await ResolveRequiredProcessFieldsByEntityAsync(""ArticleParticipant"", ct)).Select(x => x.FieldId).Distinct().ToList()"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,3743,ArticleParticipant,".Where(x => x.EntityName == ""Article"" || x.EntityName == ""ArticleParticipant"")"
legacy no usado (excluido del backend),tesisproject.backend/ArticlesMigration/Services/Modules/BulkImport/BulkImportService.cs,3755,ArticleParticipant,"else if (field.EntityName == ""ArticleParticipant"")"
